"G6V2S","NORTH LONDON NHS FOUNDATION TRUST","Y56","Z9B2Z","4TH FLOOR, EAST WING","ST. PANCRAS HOSPITAL","4 ST. PANCRAS WAY","LONDON","","NW1 0PE","20241101","","","","","","","","","","","1","","H","","",""
"K0N6A","THE ONLINE NHS TRUST","Y56","QKK","WELLINGTON HOUSE","133-155 WATERLOO ROAD","","LONDON","","SE1 8UG","20260601","","","","","","","","","","","1","","H","","",""
"R0A","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST","Y62","QOP","COBBETT HOUSE","OXFORD ROAD","","MANCHESTER","","M13 9WL","20171001","","","","","","","0300 3309444","","","","1","","B","","",""
"R0B","SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST","Y63","QHM","SUNDERLAND ROYAL HOSPITAL","KAYLL ROAD","","SUNDERLAND","","SR4 7TP","20190401","","","","","","","","","","","1","","A","","",""
"R0C","PROJECT NIGHTINGALE NHS TRUST","Y56","QMF","ROYAL VICTORIA DOCK","1 WESTERN GATEWAY","","LONDON","","E16 1XL","20200301","20200326","","","","","","","","","","1","","H","","",""
"R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST","Y58","QVV","MANAGEMENT OFFICES","POOLE HOSPITAL","LONGFLEET ROAD","POOLE","","BH15 2JB","20201001","","","","","","","","","","","1","","K","","",""
"R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST","Y60","QGH","UNIT 2 KINGS COURT","CHARLES HASTINGS WAY","","WORCESTER","","WR5 1JR","20110701","","","","","","","","","","","1","","F","","",""
"R1C","SOLENT NHS TRUST","Y59","QRL","SOLENT NHS TRUST HEADQUARTERS","HIGHPOINT VENUE","BURSLEDON ROAD","SOUTHAMPTON","","SO19 8BR","20110401","20240930","","","","","","","","","","1","","J","","",""
"R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","Y60","QOC","MOUNT MCKINLEY","ANCHORAGE AVENUE","SHREWSBURY BUSINESS PARK","SHREWSBURY","","SY2 6FG","20110701","","","","","","","01743 277500","","","","1","","F","","",""
"R1E","STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST","Y60","QNC","2ND FLOOR, MORSTON HOUSE","","","NEWCASTLE-UNDER-LYME","","ST5 1QG","20110901","20180531","","","","","","","","","","1","","F","","",""
"R1F","ISLE OF WIGHT NHS TRUST","Y59","QRL","ST MARYS HOSPITAL","PARKHURST ROAD","","NEWPORT","","PO30 5TG","20120401","","","","","","","","","","","1","","J","","",""
"R1G","TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST","Y58","QJK","BAY HOUSE, UNIT 2","RIVIERA PARK","NICHOLSON ROAD","TORQUAY","","TQ2 7TD","20120401","20150930","","","","","","","","","","1","","K","","",""
"R1H","BARTS HEALTH NHS TRUST","Y56","QMF","THE ROYAL LONDON HOSPITAL","80 NEWARK STREET","","LONDON","","E1 2ES","20120401","","","","","","","","","","","1","","H","","",""
"R1J","GLOUCESTERSHIRE CARE SERVICES NHS TRUST","Y58","QR1","EDWARD JENNER COURT","1010 PIONEER AVENUE","GLOUCESTER BUSINESS PK, BROCKWORTH","GLOUCESTER","","GL3 4AW","20130322","20190930","","","","","","","","","","1","","K","","",""
"R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST","Y56","Z9B2Z","NORTHWICK PARK HOSPITAL","WATFORD ROAD","","HARROW","","HA1 3UJ","20141001","","","","","","","","","","","1","","H","","",""
"R1L","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","Y61","D7T5G","THE LODGE","LODGE APPROACH","RUNWELL","WICKFORD","","SS11 7XX","20170401","","","","","","","","","","","1","","G","","",""
"RA2","ROYAL SURREY NHS FOUNDATION TRUST","Y59","S9B9J","EGERTON ROAD","","","GUILDFORD","","GU2 7XX","19910401","","","","","","","01483 571122","","","","1","","J","","",""
"RA3","WESTON AREA HEALTH NHS TRUST","Y58","QUY","WESTON GENERAL HOSPITAL","GRANGE ROAD","UPHILL","WESTON-SUPER-MARE","","BS23 4TQ","19910401","20200331","","","","","","01934 636363","","","","1","","K","","",""
"RA4","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","Y58","QSL","YEOVIL DISTRICT HOSPITAL","HIGHER KINGSTON","","YEOVIL","","BA21 4AT","19910401","20230331","","","","","","01935 475122","","","","1","","K","","",""
"RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST","Y58","QUY","TRUST HEADQUARTERS","MARLBOROUGH STREET","","BRISTOL","","BS1 3NU","19910401","","","","","","","0117 923 0000","","","","1","","K","","",""
"RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","Y58","QJK","TORBAY HOSPITAL","NEWTON ROAD","","TORQUAY","","TQ2 7AA","19910401","","","","","","","01803 614567","","","","1","","K","","",""
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QWO","BRADFORD ROYAL INFIRMARY","DUCKWORTH LANE","","BRADFORD","","BD9 6RJ","19910401","","","","","","","01274 542 200","","","","1","","D","","",""
"RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST","Y61","D7T5G","PRITTLEWELL CHASE","","","WESTCLIFF-ON-SEA","","SS0 0RY","19910401","","","","","","","01702 435555","","","","1","","G","","",""
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","Y56","Z9B2Z","ROYAL FREE HOSPITAL","POND STREET","","LONDON","","NW3 2QG","19910401","","","","","","","020 3758 2000","","","","1","","H","","",""
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","Y56","Z9B2Z","BROCKLEY HILL","","","STANMORE","","HA7 4LP","19910401","","","","","","","020 3947 0100","","","","1","","H","","",""
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Y56","Z9B2Z","NORTH MIDDLESEX HOSPITAL","STERLING WAY","","LONDON","","N18 1QX","19910401","20241231","","","","","","0208 887 3055","","","","1","","H","","",""
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","Y56","Z9B2Z","PIELD HEATH ROAD","","","UXBRIDGE","","UB8 3NN","19910401","","","","","","","01895 238282","","","","1","","H","","",""
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","Y56","QMF","WEST WING","C E M E CENTRE","MARSH WAY","RAINHAM","","RM13 8GQ","20010401","","","","","","","0300 555 1200","","","","1","","H","","",""
"RAX","KINGSTON AND RICHMOND NHS FOUNDATION TRUST","Y56","QWE","GALSWORTHY ROAD","","","KINGSTON UPON THAMES","","KT2 7QB","19910401","","","","","","","020 8546 7711","","","","1","","H","","",""
"RBA","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","Y58","QSL","MUSGROVE PARK HOSPITAL","","","TAUNTON","","TA1 5DA","19910401","20200331","","","","","","01823 333444","","","","1","","K","","",""
"RBB","ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST","Y58","QOX","UPPER BOROUGH WALLS","","","BATH","","BA1 1RL","19910401","20150131","","","","","","01225 465941","","","","1","","K","","",""
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","Y58","QVV","DORSET COUNTY HOSPITAL","WILLIAMS AVENUE","","DORCHESTER","","DT1 2JY","19910401","","","","","","","01305 251150","","","","1","","K","","",""
"RBF","NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST","Y59","S0E4D","WINDMILL ROAD","HEADINGTON","","OXFORD","","OX3 7LD","19910401","20111101","","","","","","01865 741155","","","","1","","J","","",""
"RBK","WALSALL HEALTHCARE NHS TRUST","Y60","QUA","MANOR HOSPITAL","MOAT ROAD","","WALSALL","","WS2 9PS","19910401","","","","","","","01922 721172","","","","1","","F","","",""
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","ARROWE PARK HOSPITAL","ARROWE PARK ROAD","UPTON","WIRRAL","","CH49 5PE","19910401","","","","","","","0151 678 5111","","","","1","","B","","",""
"RBN","MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST","Y62","QYG","WHISTON HOSPITAL","WARRINGTON ROAD","","PRESCOT","","L35 5DR","19910401","","","","","","","0151 426 1600","","","","1","","B","","",""
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","THOMAS DRIVE","","","LIVERPOOL","","L14 3PE","19910401","","","","","","","0151 600 1616","","","","1","","B","","",""
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","Y62","QYG","ALDER HEY HOSPITAL","EATON ROAD","WEST DERBY","LIVERPOOL","","L12 2AP","19910401","","","","","","","0151 228 4811","","","","1","","B","","",""
"RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","Y62","QYG","LEIGHTON HOSPITAL","LEIGHTON","","CREWE","","CW1 4QJ","19910401","","","","","","","01270 255141","","","","1","","B","","",""
"RBV","THE CHRISTIE NHS FOUNDATION TRUST","Y62","QOP","550 WILMSLOW ROAD","WITHINGTON","","MANCHESTER","","M20 4BX","19910401","","","","","","","0161 446 3000","","","","1","","B","","",""
"RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","Y58","QJK","NORTH DEVON DISTRICT HOSPITAL","RALEIGH PARK","","BARNSTAPLE","","EX31 4JB","19910401","20220331","","","","","","01271 322577","","","","1","","K","","",""
"RC1","BEDFORD HOSPITAL NHS TRUST","Y61","S1Y5D","SOUTH WING","KEMPSTON ROAD","","BEDFORD","","MK42 9DJ","19920401","20200331","","","","","","01234 355122","","","","1","","G","","",""
"RC3","EALING HOSPITAL NHS TRUST","Y56","Z9B2Z","UXBRIDGE ROAD","","","SOUTHALL","","UB1 3HW","19920401","20140930","","","","","","020 8967 5000","","","","1","","H","","",""
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Y61","S1Y5D","LEWSEY ROAD","","","LUTON","","LU4 0DZ","19920401","","","","","","","01582 491166","","","","1","","G","","",""
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QOQ","YORK HOSPITAL","WIGGINTON ROAD","","YORK","","YO31 8HE","19920401","","","","","","","01904 631313","","","","1","","D","","",""
"RCC","SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST","Y63","QOQ","SCARBOROUGH GENERAL HOSPITAL","WOODLANDS DRIVE","","SCARBOROUGH","","YO12 6QL","19920401","20120630","","","","","","01723 368111","","","","1","","D","","",""
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","Y63","QOQ","HARROGATE DISTRICT HOSPITAL","LANCASTER PARK ROAD","","HARROGATE","","HG2 7SX","19920401","","","","","","","01423 885959","","","","1","","D","","",""
"RCF","AIREDALE NHS FOUNDATION TRUST","Y63","QWO","AIREDALE GENERAL HOSPITAL","SKIPTON ROAD","STEETON","KEIGHLEY","","BD20 6TD","19920401","","","","","","","01535 652511","","","","1","","D","","",""
"RCS","NOTTINGHAM CITY HOSPITAL NHS TRUST","Y60","QT1","HUCKNALL ROAD","","","NOTTINGHAM","","NG5 1PB","19920401","20060331","","","","","","0115 969 1169","","","","1","","E","","",""
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","Y63","QF7","WESTERN BANK","","","SHEFFIELD","","S10 2TH","19920401","","","","","","","0114 271 7000","","","","1","","D","","",""
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","Y61","T6Y0W","QUEEN ELIZABETH HOSPITAL","GAYTON ROAD","","KING'S LYNN","","PE30 4ET","19920401","","","","","","","01553 613613","","","","1","","G","","",""
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","Y58","QOX","COMBE PARK","","","BATH","","BA1 3NG","19920401","","","","","","","01225 428331","","","","1","","K","","",""
"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST","Y58","QVV","LONGFLEET ROAD","","","POOLE","","BH15 2JB","19920401","20200930","","","","","","01202 665511","","","","1","","K","","",""
"RD7","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","Y59","S0E4D","WEXHAM PARK HOSPITAL","WEXHAM STREET","WEXHAM","SLOUGH","","SL2 4HL","19920401","20140930","","","","","","01753 633000","","","","1","","J","","",""
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","Y61","S1Y5D","STANDING WAY","EAGLESTONE","","MILTON KEYNES","","MK6 5LD","19920401","","","","","","","01908 660033","","","","1","","J","","",""
"RDD","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","D7T5G","BASILDON HOSPITAL","NETHERMAYNE","","BASILDON","","SS16 5NL","19920401","20200331","","","","","","01268 524900","","","","1","","G","","",""
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","Y61","D7T5G","COLCHESTER DIST GENERAL HOSPITAL","TURNER ROAD","","COLCHESTER","","CO4 5JL","19920401","","","","","","","01206 747474","","","","1","","G","","",""
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST","Y59","S9B9J","BRIGHTON GENERAL HOSPITAL","ELM GROVE","","BRIGHTON","","BN2 3EW","19920401","","","","","","","01273 696011","","","","1","","J","","",""
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST","Y59","S9B9J","PORTSMOUTH ROAD","FRIMLEY","","CAMBERLEY","","GU16 7UJ","19920401","","","","","","","01276 604604","","","","1","","J","","",""
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Y58","QVV","DORSET HEALTHCARE HQ","2 NUFFIELD ROAD","","POOLE","","BH17 0RB","19920401","","","","","","","01202 277000","","","","1","","K","","",""
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","Y58","QVV","ROYAL BOURNEMOUTH GENERAL HOSPITAL","CASTLE LANE EAST","","BOURNEMOUTH","","BH7 7DW","19920401","20200930","","","","","","01202 303626","","","","1","","K","","",""
"RE9","SOUTH TYNESIDE NHS FOUNDATION TRUST","Y63","QHM","SOUTH TYNESIDE DISTRICT HOSPITAL","HARTON LANE","","SOUTH SHIELDS","","NE34 0PL","19930401","20190331","","","","","","0191 454 8888","","","","1","","A","","",""
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST","Y58","QT6","ROYAL CORNWALL HOSPITAL","TRELISKE","","TRURO","","TR1 3LJ","19920401","","","","","","","01872 250000","","","","1","","K","","",""
"REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y62","QYG","ROYAL LIVERPOOL UNIVERSITY HOSPITAL","PRESCOT STREET","","LIVERPOOL","","L7 8XP","19920401","","","","","","","0151 706 2000","","","","1","","B","","",""
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","Y62","QYG","CLATTERBRIDGE HOSPITAL","CLATTERBRIDGE ROAD","BEBINGTON","WIRRAL","","CH63 4JY","19920401","","","","","","","0151 556 5000","","","","1","","B","","",""
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","Y62","QYG","LIVERPOOL WOMENS HOSPITAL","CROWN STREET","","LIVERPOOL","","L8 7SS","19920401","","","","","","","0151 708 9988","","","","1","","B","","",""
"RET","THE WALTON CENTRE NHS FOUNDATION TRUST","Y62","QYG","LOWER LANE","","","LIVERPOOL","","L9 7LJ","19920401","","","","","","","0151 525 3611","","","","1","","B","","",""
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","Y56","QMF","QUEENS HOSPITAL","ROM VALLEY WAY","","ROMFORD","","RM7 0AG","20010401","","","","","","","0330 400 4333","","","","1","","H","","",""
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","Y63","QF7","GAWBER ROAD","","","BARNSLEY","","S75 2EP","19930401","","","","","","","01226 730000","","","","1","","D","","",""
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST","Y63","QF7","MOORGATE ROAD","","","ROTHERHAM","","S60 2UD","19930401","","","","","","","01709 820000","","","","1","","D","","",""
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","Y60","QJ2","CHESTERFIELD ROAD","CALOW","","CHESTERFIELD","","S44 5BL","19930401","","","","","","","01246 277271","","","","1","","E","","",""
"RFW","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","Y56","Z9B2Z","TWICKENHAM ROAD","","","ISLEWORTH","","TW7 6AF","19930401","20150831","","","","","","020 8560 2121","","","","1","","H","","",""
"RGC","WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST","Y56","QMF","WHIPPS CROSS HOSPITAL","WHIPPS CROSS ROAD","","LONDON","","E11 1NR","20010401","20120331","","","","","","020 8539 5522","","","","1","","H","","",""
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","Y63","QWO","ST. MARYS HOUSE","ST. MARYS ROAD","","LEEDS","","LS7 3JX","19930401","","","","","","","0113 8555000","","","","1","","D","","",""
"RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","Y61","S1Y5D","PAPWORTH ROAD","CAMBRIDGE BIOMEDICAL CAMPUS","","CAMBRIDGE","","CB2 0AY","19930401","","","","","","","01223 638000","","","","1","","G","","",""
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST","Y61","S1Y5D","PETERBOROUGH CITY HOSPITAL","BRETTON GATE","BRETTON","PETERBOROUGH","","PE3 9GZ","19930401","","","","","","","01733 874000","","","","1","","G","","",""
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","T6Y0W","LOWESTOFT ROAD","GORLESTON","","GREAT YARMOUTH","","NR31 6LA","19930401","","","","","","","01493 452452","","","","1","","G","","",""
"RGQ","IPSWICH HOSPITAL NHS TRUST","Y61","T6Y0W","HEATH ROAD","","","IPSWICH","","IP4 5PD","19930401","20180630","","","","","","01473 712233","","","","1","","G","","",""
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST","Y61","T6Y0W","WEST SUFFOLK HOSPITAL","HARDWICK LANE","","BURY ST. EDMUNDS","","IP33 2QZ","19930401","","","","","","","01284 713000","","","","1","","G","","",""
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","S1Y5D","CAMBRIDGE BIOMEDICAL CAMPUS","HILLS ROAD","","CAMBRIDGE","","CB2 0QQ","19930401","","","","","","","01223 245151","","","","1","","G","","",""
"RGZ","QUEEN MARY'S SIDCUP NHS TRUST","Y56","QKK","QUEEN MARY'S HOSPITAL","FROGNAL AVENUE","","SIDCUP","","DA14 6LT","19930401","20090331","","","","","","020 8302 2678","","","","1","","H","","",""
"RH5","SOMERSET NHS FOUNDATION TRUST","Y58","QSL","TRUST MANAGEMENT","LYDEARD HOUSE","MUSGROVE PARK HOSPITAL","TAUNTON","","TA1 5DA","19930401","","","","","","","01278 432000","","","","1","","K","","",""
"RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST","Y58","QJK","ROYAL DEVON UNIVERSITY NHS FT","BARRACK ROAD","","EXETER","","EX2 5DW","19930401","","","","","","","01392 411611","","","","1","","K","","",""
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","Y60","QT1","THE RESOURCE, TRUST HQ","DUNCAN MACMILLAN HOUSE","PORCHESTER ROAD","NOTTINGHAM","","NG3 6AA","20010401","","","","","","","0115 969 1300","","","","1","","E","","",""
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","Y59","QRL","SOUTHAMPTON GENERAL HOSPITAL","TREMONA ROAD","","SOUTHAMPTON","","SO16 6YD","19930401","","","","","","","023 8077 7222","","","","1","","J","","",""
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QF7","NORTHERN GENERAL HOSPITAL","HERRIES ROAD","","SHEFFIELD","","S5 7AU","20010401","","","","","","","0114 243 4343","","","","1","","D","","",""
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST","Y59","QRL","QUEEN ALEXANDRA HOSPITAL","SOUTHWICK HILL ROAD","COSHAM","PORTSMOUTH","","PO6 3LY","19930401","","","","","","","023 9228 6000","","","","1","","J","","",""
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","Y59","S0E4D","ROYAL BERKSHIRE HOSPITAL","LONDON ROAD","","READING","","RG1 5AN","19930401","","","","","","","0118 322 5111","","","","1","","J","","",""
"RHX","OXFORDSHIRE LEARNING DISABILITY NHS TRUST","Y59","S0E4D","SLADE HOUSE","HORSPATH DRIFTWAY","HEADINGTON","OXFORD","","OX3 7JH","19930401","20121101","","","","","","01865 747455","","","","1","","J","","",""
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Y56","QKK","ST THOMAS' HOSPITAL","WESTMINSTER BRIDGE ROAD","","LONDON","","SE1 7EH","19930401","","","","","","","020 7188 7188","","","","1","","H","","",""
"RJ2","LEWISHAM AND GREENWICH NHS TRUST","Y56","QKK","UNIVERSITY HOSPITAL LEWISHAM","LEWISHAM HIGH STREET","","LONDON","","SE13 6LH","19930401","","","","","","","020 8333 3000","","","","1","","H","","",""
"RJ5","ST MARY'S NHS TRUST","Y56","Z9B2Z","ACROW BUILDING","PRAED STREET","","LONDON","","W2 1NY","19930401","20070930","","","","","","020 7886 6666","","","","1","","H","","",""
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","Y56","QWE","CROYDON UNIVERSITY HOSPITAL","530 LONDON ROAD","","THORNTON HEATH","","CR7 7YE","19930401","","","","","","","020 8401 3000","","","","1","","H","","",""
