pcds,lat,long
AL10 8YE,51.766985,-0.216689
AL7 1BW,51.802232,-0.194122
B13 8QY,52.440934,-1.89709
B15 2GW,52.451833,-1.942563
B15 2TG,52.453245,-1.9429
B31 2AP,52.420088,-1.96116
B4 6NH,52.484784,-1.893809
B66 2QT,52.491258,-1.949846
B7 4BN,52.487339,-1.885821
B9 5ST,52.477892,-1.827525
BA1 1RL,51.382254,-2.361435
BA1 3NG,51.391662,-2.391217
BA1 3QE,51.388601,-2.392311
BA21 4AT,50.944835,-2.634713
BB2 3HH,53.735575,-2.462715
BB7 9PE,53.829706,-2.423673
BD20 6TD,53.897957,-1.962729
BD9 6RJ,53.805995,-1.7947
BH15 2JB,50.721977,-1.97311
BH17 0RB,50.740063,-1.978032
BH7 7DW,50.747472,-1.820512
BL1 5DD,53.579021,-2.475804
BL4 0JR,53.553973,-2.429892
BN11 2DH,50.816683,-0.363404
BN13 3EP,50.841203,-0.411137
BN2 3EW,50.831176,-0.114497
BN2 5BE,50.819462,-0.118149
BN27 4EP,50.890064,0.263549
BR3 3BX,51.38092,-0.029741
BS1 3NU,51.459476,-2.593021
BS10 5NB,51.494806,-2.591016
BS23 4TQ,51.322331,-2.971405
CA2 7HY,54.896504,-2.957796
CB2 0AY,52.173522,0.136045
CB2 0QQ,52.175003,0.14065
CB21 5EF,52.184505,0.188329
CF10 4BZ,51.476495,-3.170006
CF15 7QZ,51.565918,-3.277885
CH2 1BQ,53.211559,-2.898826
CH2 1UL,53.208816,-2.897886
CH42 0LQ,53.380046,-3.026531
CH49 5PE,53.36964,-3.096815
CH63 4JY,53.332283,-3.025849
CM1 7ET,51.774662,0.466021
CM2 0QX,51.729815,0.467183
CM20 1QX,51.771322,0.087315
CO4 5JL,51.910175,0.899213
CR7 7YE,51.389128,-0.108758
CT1 3NG,51.266593,1.087113
CV10 7DJ,52.512597,-1.478431
CV2 2DX,52.421229,-1.438395
CV34 5BW,52.289965,-1.583203
CV6 6NY,52.456608,-1.486907
CW1 4QJ,53.117701,-2.475863
DA14 6LT,51.419041,0.101687
DA2 7WG,51.434795,0.174767
DA2 8DA,51.434952,0.258673
DE13 0RB,52.817793,-1.656379
DE22 3LZ,52.91807,-1.512352
DE22 3NE,52.910425,-1.513523
DL2 2TS,54.543494,-1.591147
DL3 6HX,54.530385,-1.563742
DN2 5LT,53.530805,-1.108942
DN33 2BA,53.544883,-0.096293
DN4 8QN,53.494823,-1.145978
DT1 2JY,50.712931,-2.446934
DY1 2HQ,52.501908,-2.117684
DY5 1LX,52.485661,-2.119039
DY5 1RU,52.481734,-2.117836
E1 1BB,51.519019,-0.058106
E1 2ES,51.517168,-0.056023
E1 8DE,51.513374,-0.071866
E1 8EU,51.513069,-0.070279
E11 1NR,51.578833,0.002666
E13 8SL,51.522777,0.034744
E16 1XL,51.508134,0.028673
E9 6SR,51.550635,-0.046072
EC1V 2PD,51.527248,-0.089863
EN5 3DJ,51.650646,-0.214622
EX2 5AF,50.715384,-3.506312
EX2 5DW,50.716692,-3.506694
EX2 7HY,50.720158,-3.464758
EX31 4JB,51.092166,-4.050455
FY3 8NR,53.820675,-3.016275
GL3 4AW,51.844174,-2.177447
GL53 7AN,51.892128,-2.071875
GU16 7UJ,51.319666,-0.742011
GU2 7XX,51.241012,-0.607443
HA1 3UJ,51.575409,-0.322015
HA7 4LP,51.632569,-0.310412
HD3 3EA,53.655489,-1.816339
HG2 7SX,53.993822,-1.517579
HP7 0JD,51.663005,-0.621408
HR1 2ER,52.058529,-2.707776
HU10 6ED,53.771873,-0.449207
HU3 2JZ,53.744134,-0.358153
IP3 8LU,52.047693,1.190171
IP33 2QZ,52.231679,0.709205
IP4 5PD,52.056863,1.197945
KT16 0PZ,51.377831,-0.527041
KT2 7QB,51.414826,-0.282602
KT22 7AD,51.29759,-0.335606
L12 2AP,53.421263,-2.897796
L13 1FB,53.404136,-2.929955
L14 3PE,53.411167,-2.897989
L34 1PJ,53.424116,-2.826374
L35 5DR,53.420485,-2.784953
L7 8XP,53.409523,-2.964809
L8 7SS,53.398478,-2.960077
L9 7LJ,53.466411,-2.930999
LA9 7RG,54.306116,-2.731605
LE1 5WW,52.6268,-1.135953
LE3 8RA,52.65573,-1.187999
LL17 0LJ,53.252387,-3.478568
LN1 1FS,53.244051,-0.556906
LN2 5QY,53.233597,-0.519635
LN5 7JH,53.226489,-0.52415
LS11 0DL,53.762746,-1.575641
LS7 3JX,53.821054,-1.534967
LS9 7TF,53.806885,-1.520363
LU1 2PL,51.880449,-0.419282
LU4 0DZ,51.894292,-0.474153
M13 9WL,53.462452,-2.227709
M20 4BX,53.429783,-2.230124
M23 9LT,53.387938,-2.293183
M25 3BL,53.536765,-2.291464
M41 5SL,53.454076,-2.37068
M6 8HD,53.487562,-2.323424
M8 5RB,53.517898,-2.229499
ME16 9PH,51.27321,0.485729
ME16 9QQ,51.273661,0.484004
ME7 5NY,51.379861,0.54209
MK42 9DJ,52.128277,-0.472474
MK6 5LD,52.026384,-0.73576
N15 3TH,51.580628,-0.092071
N18 1QX,51.613096,-0.073725
N19 5NF,51.566482,-0.139066
NE15 8NY,54.96972,-1.712379
NE29 8NH,55.025248,-1.467353
NE3 3XT,55.006495,-1.633115
NE34 0PL,54.971208,-1.428469
NE7 7DN,55.002783,-1.593393
NE9 6SX,54.939388,-1.580794
NG17 4JL,53.134573,-1.233579
NG3 6AA,52.979292,-1.126428
NG5 1PB,52.990372,-1.158337
NG7 2UH,52.94382,-1.185953
NG8 6PY,52.98148,-1.238122
NN1 5BD,52.236068,-0.883829
NN15 7PW,52.394115,-0.722185
NN16 8UZ,52.402797,-0.741279
NR1 2DH,52.615201,1.307669
NR2 3TU,52.633947,1.262489
NR31 6LA,52.561697,1.718003
NR4 7UY,52.617567,1.221195
NW1 0PE,51.536652,-0.131632
NW1 2PG,51.525737,-0.137384
NW1 3AX,51.524338,-0.142155
NW1 5JD,51.52284,-0.151514
NW3 2QG,51.553227,-0.165298
NW3 5BA,51.546901,-0.175418
OL6 7SR,53.485827,-2.099981
OL6 9RW,53.491546,-2.071432
OX26 6HR,51.891776,-1.14948
OX3 7JH,51.743459,-1.198761
OX3 7LD,51.754093,-1.20896
OX3 9DU,51.763867,-1.219773
OX4 4XN,51.717427,-1.229461
PE27 4LG,52.322863,-0.067127
PE29 6NT,52.333364,-0.202658
PE3 9GZ,52.58394,-0.279371
PE30 4ET,52.75663,0.446694
PL31 2QN,50.471755,-4.740858
PL6 8DH,50.416707,-4.113712
PO19 6SE,50.843544,-0.768008
PO30 5TG,50.710832,-1.301363
PO6 3LY,50.850287,-1.069917
PR2 9HT,53.791521,-2.706842
PR5 6AW,53.719431,-2.63894
PR8 6PN,53.63357,-2.978821
RG1 5AN,51.451023,-0.95931
RG12 2UT,51.416178,-0.740213
RG24 9NA,51.280633,-1.1099
RH1 5RH,51.219192,-0.161983
RH10 9BG,51.133206,-0.168128
RH19 3DZ,51.135069,-0.002873
RM13 8GQ,51.518578,0.171162
RM7 0AG,51.568649,0.179058
S10 2TH,53.380617,-1.490628
S42 7JE,53.239334,-1.480649
S44 5BL,53.236233,-1.400049
S5 7AU,53.409821,-1.455966
S60 2UD,53.413991,-1.342881
S75 2EP,53.55915,-1.499495
SE1 7EH,51.49796,-0.11888
SE1 8SD,51.500175,-0.109005
SE1 8UG,51.501764,-0.10881
SE13 6LH,51.453022,-0.017917
SE5 9RS,51.468078,-0.09389
SG1 4AB,51.924246,-0.211889
SG8 6NA,52.076599,0.01429
SK10 3BL,53.262339,-2.141072
SK2 7JE,53.383794,-2.132019
SL2 4HL,51.532009,-0.573974
SM5 1AA,51.380188,-0.183708
SN3 6BB,51.538529,-1.727188
SO16 6YD,50.933011,-1.435095
SO19 8BR,50.901678,-1.33085
SO22 5DG,51.0617,-1.329159
SO40 2RZ,50.931292,-1.530043
SP2 8BJ,51.04394,-1.789814
SR2 0NB,54.863941,-1.369334
SR4 7TP,54.902214,-1.410327
SS0 0RY,51.553842,0.688646
SS11 7XX,51.633013,0.543374
SS16 5NL,51.558437,0.451767
ST16 3SA,52.811307,-2.097781
ST16 3SR,52.81065,-2.109263
ST4 6QG,53.003262,-2.211798
ST4 8HH,52.96839,-2.167808
ST5 1QG,53.010145,-2.227615
SW10 9NH,51.484309,-0.18162
SW17 0QT,51.426682,-0.175694
SW17 7DJ,51.437358,-0.172348
SW3 6JJ,51.490562,-0.172541
SW3 6NP,51.489744,-0.170831
SY10 7AG,52.884226,-3.032684
SY2 6FG,52.691063,-2.721364
SY3 8XQ,52.709274,-2.793689
TA1 5DA,51.011569,-3.121702
TN25 4AZ,51.171892,0.870742
TN37 7PT,50.88769,0.561978
TQ2 7AA,50.482303,-3.553819
TQ2 7TD,50.487766,-3.5528
TR1 3LJ,50.266675,-5.091511
TS24 9AH,54.702408,-1.227851
TS4 3BW,54.551768,-1.21482
TS6 0SZ,54.54569,-1.14681
TW11 8HU,51.427449,-0.326578
TW7 6AF,51.473648,-0.324413
UB1 3HW,51.507606,-0.345474
UB2 4SD,51.506315,-0.358547
UB8 3NN,51.526078,-0.461155
W12 0HS,51.517422,-0.234698
W2 1BL,51.517542,-0.174387
W2 1NY,51.516971,-0.173545
WA2 8WA,53.429532,-2.606862
WA3 7PG,53.414117,-2.527537
WA5 1QG,53.393989,-2.610717
WC1N 3JH,51.522212,-0.119898
WD18 0HB,51.648926,-0.404165
WF1 3SP,53.697356,-1.494057
WF1 4DG,53.692434,-1.488558
WF2 0XQ,53.709422000000004,-1.518789
WN1 2NN,53.557755,-2.629091
WR4 9RW,52.195072,-2.213004
WR5 1DD,52.191205,-2.181154
WR5 1JR,52.192352,-2.178013
WS2 9PS,52.582346,-1.998918
WV10 0QP,52.599738,-2.095549
YO12 6QL,54.281725,-0.43477
YO31 8HE,53.96897,-1.084294
